0791849495;0658302006;0246065498;1716804411-0741454585;1927090201;0256644153;1271116295
0484249709;1969320680;1354701196;0841375678-1968688298;1463675157;0563187314;1528754069
1275284975;1827777765;1854809667;0913453417-0050987116;0094483459;0993080280;0457361476
1030354519;2007755072;0928949793;0653057261-0144465810;1380347560;0235602379;1956822432
1750044466;1061310750;0450603268;1261785954-0435514753;1072184695;0672886888;0561041514
1971515468;1735281113;2041739931;0881824904-1046513581;0862686937;1517249262;1187521956
2115982921;0995758927;0380225018;1678027701-1856318303;0499294905;1430859506;0933838236
1208740176;0100837412;0409786001;0293262878-0394220681;0679934572;0899865917;1466624845
0746469649;0315924969;1171378599;1377521344-2127513948;1524201486;2069433786;0328494490
1973920640;1356817624;2052442722;0375006893-2023830353;0523258038;0452310201;2032921474
0846389748;0340816908;0770886207;0515638698-1243081641;1752222271;1156457386;1852281152
1366374752;1617819493;1401764184;1555032898-0561932696;1917225813;1969599503;1745912063
0327490233;0127758770;1905484037;0046582148-1222113928;1535187988;2035979258;0698957908
0650010666;0479951173;0590786479;1531452472-1530187609;1746471638;1142332670;0681380510
1579425766;0363488595;1709324097;1721352360-2016905783;0106126986;1264826692;0001590791
0966620573;0278180856;0313747273;1078063926-0700874543;0650640406;0326573118;1893676141
1307253247;0100129872;1403063103;1911128061-0416413048;0004892163;0618204955;0644794499
0858661931;0440966477;0357513142;0064133288-1998864269;1825079062;1594864933;0004047077
1447230082;1196202252;1976829797;0858895442-0070618560;1475164776;0395685617;1678793807
1847359963;0260329815;0939011766;0113429359-1589241824;2133218229;0759288138;1007904892
0506512308;0327183848;1420797016;1464776919-1900632072;0103984979;1771337042;0295866533
1204177326;0722428754;2135011987;0842207786-0921541925;0703071311;1064498183;0334698524
1018421375;1163383035;0140063310;0401974058-2141922991;1031335076;1308107395;1570893426
0841854564;1427390712;0615875947;0155862689-1801648330;0784059610;0730207278;1872162388
0502859272;1207633559;0829278316;0511787982-0948607239;0323270545;0074422905;0990281781
0667629017;0238833144;0421714965;1067381655-1552572194;0007069861;0711553242;1886391798
1285868325;1460998514;0674005000;0025797075-1927226478;0399568045;0358768146;1829632693
0818329858;1184648018;1058347189;0034157422-0705657805;1586029901;1837519543;0228631694
0764636575;0704772377;1737027034;1320663120-2141566095;1475434945;0641448706;0460493802
2135750073;0362317306;1350822697;0079952395-1582623390;0418863988;0395651450;1104549038
1307036998;0760600223;1585281017;2135928037-1205874607;1331343110;1251531677;2038056621
1253459497;0079189009;1637296770;0191360732-1416803165;0912116219;1199020447;2097592928
1152791744;0373378174;0419753884;0319747993-1000433557;1637320136;0584073094;0368740421
1929934152;0810288376;1322929805;1583035244-0898443225;1177760518;1264251627;1073891571
1443064409;2050696492;1090890341;1526066748-1206637515;1268635984;1747335672;0631766579
0941742485;0911467005;1025098984;1724807854-2111334972;0187091376;0528697224;1674396129
0950029815;0610185260;1149250395;0983467647-2106595817;2140491877;0600922195;0083739524
0808391083;1647381059;0026797842;1567248271-1854760242;0082767442;1650478085;0538906296
1459577473;0412889030;0906263753;1620872147-1168112434;0170177364;1870222591;0112945798
2051966685;0964187622;0189762692;0328348649-1670254600;0062828616;1546078435;0388128345
1365258476;0036437937;0379567764;1368977958-0272746148;1314406738;0069768877;0079444477
1635980152;1685282123;1374820978;1839619173-1157374752;0090582338;1998932690;0827547162
1481053762;0587625557;2092927593;0051917691-0702271955;0514623773;1365106342;1774489093
1732780162;0810445767;1820716695;1291006762-1923363293;2043010807;0766601366;1514760009
0152836078;0325521134;1392850229;2062046503-0724480635;0113753955;0602275855;1359866674
1758218544;1004086288;0751744290;0919986729-0334695903;0974370228;1677613621;1339326684
0139990134;1319588673;1263204542;0655403152-0917150201;2053293688;1792290573;0274543942
1465159438;1887177964;1614058405;0466183931-1132984061;0325615278;0827644790;0974403911
0096240155;0453098894;0256099196;0701958584-1690248317;1089781303;0066334258;0335861413
1235743975;0834637688;0392440012;0817001747-0337922911;1523602509;0592361935;0092854053
1524941049;1614367245;1361890517;1413209493-0642813031;1915867607;0617067731;0858823554
1009880591;1499830696;0491459186;0732432740-0620796576;1252495706;1060622848;1773936236
1030847151;1697486508;0335489561;1428478352-1715972251;1787726994;0883882981;1276875368
